"0...1","Число избирателей, внесенных в список избирателей на момент окончания голосования","Число избирательных бюллетеней, полученных участковой избирательной комиссией","Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно","Число избирательных бюллетеней, выданных в помещении для голосования в день голосования","Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования","Число погашенных избирательных бюллетеней","Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования","Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования","Число недействительных избирательных бюллетеней","Число действительных избирательных бюллетеней","Число открепительных удостоверений, полученных участковой избирательной комиссией","Число открепительных удостоверений, выданных на избирательном участке до дня голосования","Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке","Число погашенных неиспользованных открепительных удостоверений","Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией","Число утраченных открепительных удостоверений","Число утраченных избирательных бюллетеней","Число избирательных бюллетеней, не учтенных при получении","0...20","1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""","0...22","2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ","0...24","3. Политическая партия ""Российская партия пенсионеров за справедливость""","0...26","4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""","0...28","5. Политическая партия ""Российская экологическая партия ""Зеленые""","0...30","6. Политическая партия ""Гражданская Платформа""","0...32","7. Политическая партия ЛДПР - Либерально-демократическая партия России","0...34","8. Политическая партия ""Партия народной свободы"" (ПАРНАС)","0...36","9. Всероссийская политическая партия ""ПАРТИЯ РОСТА""","0...38","10. Общественная организация Всероссийская политическая партия ""Гражданская Сила""","0...40","11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""","0...42","12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""","0...44","13. Политическая партия ""ПАТРИОТЫ РОССИИ""","0...46","14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ","0...48"
"УИК №1678",581,500,0,196,14,290,14,196,6,204,35,6,5,29,0,0,0,0,0,6,"2.86%",6,"2.86%",5,"2.38%",97,"46.19%",1,"0.48%",0,"0.00%",23,"10.95%",7,"3.33%",6,"2.86%",1,"0.48%",14,"6.67%",23,"10.95%",1,"0.48%",14,"6.67%"
"УИК №1679",1770,1500,0,619,20,861,19,619,16,622,35,24,7,11,5,0,0,0,0,14,"2.19%",16,"2.51%",19,"2.98%",249,"39.03%",12,"1.88%",0,"0.00%",89,"13.95%",14,"2.19%",47,"7.37%",2,"0.31%",51,"7.99%",85,"13.32%",4,"0.63%",20,"3.13%"
"УИК №1680",1879,1500,0,708,42,750,42,705,56,691,35,21,9,14,2,0,0,0,0,27,"3.61%",18,"2.41%",10,"1.34%",299,"40.03%",18,"2.41%",2,"0.27%",83,"11.11%",18,"2.41%",65,"8.70%",1,"0.13%",39,"5.22%",82,"10.98%",5,"0.67%",24,"3.21%"
"УИК №1681",223,250,0,144,79,27,79,144,29,194,0,0,0,0,0,0,0,0,0,2,"0.90%",0,"0.00%",4,"1.79%",154,"69.06%",2,"0.90%",1,"0.45%",15,"6.73%",0,"0.00%",7,"3.14%",0,"0.00%",4,"1.79%",4,"1.79%",0,"0.00%",1,"0.45%"
"УИК №1682",2729,2500,0,931,12,1557,12,911,45,878,35,25,18,10,0,0,0,0,0,26,"2.82%",19,"2.06%",21,"2.28%",432,"46.80%",5,"0.54%",3,"0.33%",131,"14.19%",12,"1.30%",56,"6.07%",4,"0.43%",36,"3.90%",105,"11.38%",4,"0.43%",24,"2.60%"
"УИК №1683",2086,2000,0,865,19,1116,19,846,19,846,35,24,15,11,3,0,0,0,0,41,"4.74%",12,"1.39%",23,"2.66%",333,"38.50%",15,"1.73%",5,"0.58%",94,"10.87%",15,"1.73%",84,"9.71%",2,"0.23%",69,"7.98%",121,"13.99%",2,"0.23%",30,"3.47%"
"УИК №1684",2818,2500,0,1098,33,1369,33,1098,50,1081,50,49,8,1,40,0,0,0,0,20,"1.77%",19,"1.68%",23,"2.03%",489,"43.24%",12,"1.06%",2,"0.18%",151,"13.35%",30,"2.65%",89,"7.87%",3,"0.27%",63,"5.57%",140,"12.38%",5,"0.44%",35,"3.09%"
"УИК №1685",2890,2500,0,1010,33,1457,33,1010,51,992,35,29,36,6,7,0,0,0,0,30,"2.88%",20,"1.92%",25,"2.40%",406,"38.93%",12,"1.15%",3,"0.29%",129,"12.37%",18,"1.73%",82,"7.86%",3,"0.29%",69,"6.62%",146,"13.99%",3,"0.29%",46,"4.41%"
"УИК №1686",2464,2500,0,1393,16,1091,16,1392,41,1367,35,31,22,4,27,0,0,0,0,42,"2.98%",19,"1.35%",29,"2.06%",710,"50.43%",20,"1.42%",5,"0.36%",231,"16.41%",24,"1.70%",58,"4.12%",4,"0.28%",51,"3.62%",130,"9.23%",9,"0.64%",35,"2.49%"
"УИК №1687",1995,1500,0,764,21,715,21,761,38,744,20,9,10,11,3,0,0,0,0,25,"3.20%",15,"1.92%",24,"3.07%",302,"38.62%",16,"2.05%",0,"0.00%",121,"15.47%",12,"1.53%",61,"7.80%",4,"0.51%",47,"6.01%",93,"11.89%",2,"0.26%",22,"2.81%"
"УИК №1688",1880,1500,0,809,18,673,18,804,22,800,35,10,16,25,1,0,0,0,0,26,"3.16%",9,"1.09%",19,"2.31%",351,"42.70%",10,"1.22%",2,"0.24%",80,"9.73%",15,"1.82%",79,"9.61%",2,"0.24%",75,"9.12%",101,"12.29%",1,"0.12%",30,"3.65%"
"УИК №1689",2360,2000,0,920,21,1059,21,917,32,906,35,19,16,16,4,0,0,0,0,32,"3.41%",6,"0.64%",23,"2.45%",389,"41.47%",8,"0.85%",1,"0.11%",116,"12.37%",25,"2.67%",90,"9.59%",4,"0.43%",62,"6.61%",121,"12.90%",3,"0.32%",26,"2.77%"
"УИК №1690",2263,2000,0,899,25,1076,25,893,36,882,35,25,11,10,1,0,0,0,0,35,"3.81%",24,"2.61%",24,"2.61%",370,"40.31%",10,"1.09%",4,"0.44%",102,"11.11%",18,"1.96%",84,"9.15%",1,"0.11%",58,"6.32%",107,"11.66%",5,"0.54%",40,"4.36%"
"УИК №1691",1857,1500,0,778,19,703,19,777,33,763,35,19,14,16,1,0,0,0,0,19,"2.39%",15,"1.88%",20,"2.51%",302,"37.94%",14,"1.76%",1,"0.13%",97,"12.19%",10,"1.26%",74,"9.30%",6,"0.75%",54,"6.78%",110,"13.82%",0,"0.00%",41,"5.15%"
"УИК №1692",590,600,0,379,54,167,54,379,57,376,40,7,14,33,0,0,0,0,0,15,"3.46%",9,"2.08%",3,"0.69%",293,"67.67%",2,"0.46%",3,"0.69%",23,"5.31%",2,"0.46%",3,"0.69%",1,"0.23%",8,"1.85%",6,"1.39%",1,"0.23%",7,"1.62%"
"УИК №1693",2664,2500,0,1067,13,1420,13,1062,31,1044,35,33,14,2,4,0,0,0,0,35,"3.26%",14,"1.30%",33,"3.07%",428,"39.81%",17,"1.58%",1,"0.09%",152,"14.14%",15,"1.40%",89,"8.28%",0,"0.00%",61,"5.67%",160,"14.88%",1,"0.09%",38,"3.53%"
"УИК №1694",2414,2000,0,873,24,1103,24,871,28,867,35,16,9,19,2,0,0,0,0,24,"2.68%",16,"1.79%",21,"2.35%",382,"42.68%",8,"0.89%",4,"0.45%",112,"12.51%",19,"2.12%",78,"8.72%",3,"0.34%",61,"6.82%",108,"12.07%",1,"0.11%",30,"3.35%"
"УИК №1695",2600,2500,0,1001,20,1479,20,994,31,983,35,28,14,7,4,0,0,0,0,19,"1.87%",19,"1.87%",24,"2.37%",428,"42.21%",18,"1.78%",2,"0.20%",123,"12.13%",23,"2.27%",92,"9.07%",5,"0.49%",57,"5.62%",128,"12.62%",10,"0.99%",35,"3.45%"
"УИК №1696",2418,2000,0,994,19,987,19,989,30,978,35,23,12,12,1,0,0,0,0,18,"1.79%",24,"2.38%",24,"2.38%",387,"38.39%",13,"1.29%",2,"0.20%",98,"9.72%",22,"2.18%",105,"10.42%",2,"0.20%",85,"8.43%",155,"15.38%",8,"0.79%",35,"3.47%"
"УИК №1697",2042,2000,0,700,14,1286,14,686,28,672,35,17,11,18,5,0,0,0,0,15,"2.14%",10,"1.43%",28,"4.00%",266,"38.00%",9,"1.29%",3,"0.43%",78,"11.14%",8,"1.14%",62,"8.86%",1,"0.14%",52,"7.43%",105,"15.00%",1,"0.14%",34,"4.86%"
"УИК №1698",2183,2000,0,788,22,1190,22,783,23,782,35,12,14,23,3,0,0,0,0,21,"2.61%",11,"1.37%",29,"3.60%",335,"41.61%",10,"1.24%",1,"0.12%",74,"9.19%",12,"1.49%",88,"10.93%",4,"0.50%",60,"7.45%",106,"13.17%",4,"0.50%",27,"3.35%"
"УИК №1699",3605,3500,0,2237,5,1258,5,2237,57,2185,230,222,29,8,31,0,0,0,0,38,"1.69%",29,"1.29%",23,"1.03%",1422,"63.43%",24,"1.07%",5,"0.22%",260,"11.60%",22,"0.98%",54,"2.41%",2,"0.09%",66,"2.94%",183,"8.16%",4,"0.18%",53,"2.36%"
"УИК №1700",2992,2500,0,1205,14,1281,14,1197,47,1164,35,33,19,2,2,0,0,0,0,32,"2.64%",17,"1.40%",31,"2.56%",471,"38.89%",29,"2.39%",3,"0.25%",153,"12.63%",16,"1.32%",115,"9.50%",2,"0.17%",69,"5.70%",173,"14.29%",4,"0.33%",49,"4.05%"
"УИК №1701",1824,1500,0,543,10,947,10,542,12,540,15,9,45,6,1,0,0,0,0,20,"3.62%",7,"1.27%",4,"0.72%",138,"25.00%",12,"2.17%",4,"0.72%",45,"8.15%",54,"9.78%",42,"7.61%",3,"0.54%",109,"19.75%",77,"13.95%",1,"0.18%",24,"4.35%"
"УИК №1702",326,600,0,305,21,274,21,305,12,314,0,0,92,0,0,0,0,0,0,10,"3.07%",9,"2.76%",4,"1.23%",157,"48.16%",3,"0.92%",0,"0.00%",54,"16.56%",3,"0.92%",19,"5.83%",0,"0.00%",4,"1.23%",35,"10.74%",2,"0.61%",14,"4.29%"
"УИК №1706",2545,2500,0,1031,24,1445,24,1031,38,1017,55,50,5,5,2,0,0,0,0,23,"2.18%",11,"1.04%",24,"2.27%",428,"40.57%",17,"1.61%",2,"0.19%",171,"16.21%",12,"1.14%",61,"5.78%",2,"0.19%",51,"4.83%",153,"14.50%",5,"0.47%",57,"5.40%"
"УИК №1707",728,700,0,223,6,471,6,222,7,221,35,9,8,26,2,0,0,0,0,5,"2.19%",4,"1.75%",7,"3.07%",93,"40.79%",2,"0.88%",0,"0.00%",32,"14.04%",1,"0.44%",20,"8.77%",0,"0.00%",18,"7.89%",29,"12.72%",0,"0.00%",10,"4.39%"
"УИК №1708",2992,2500,0,1029,33,1438,33,1025,33,1025,55,51,22,4,4,0,0,0,0,36,"3.40%",13,"1.23%",33,"3.12%",422,"39.89%",8,"0.76%",4,"0.38%",141,"13.33%",10,"0.95%",88,"8.32%",5,"0.47%",41,"3.88%",136,"12.85%",4,"0.38%",84,"7.94%"
"УИК №1709",1481,1100,0,527,8,565,8,525,11,522,35,12,8,23,2,0,0,0,0,7,"1.31%",17,"3.19%",9,"1.69%",212,"39.77%",8,"1.50%",2,"0.38%",62,"11.63%",13,"2.44%",50,"9.38%",2,"0.38%",32,"6.00%",71,"13.32%",2,"0.38%",35,"6.57%"
"УИК №1710",1204,1000,0,427,10,563,10,424,15,419,35,9,14,26,2,0,0,0,0,13,"2.99%",7,"1.61%",10,"2.30%",195,"44.93%",6,"1.38%",1,"0.23%",52,"11.98%",4,"0.92%",34,"7.83%",0,"0.00%",16,"3.69%",64,"14.75%",1,"0.23%",16,"3.69%"
"УИК №1711",1583,1500,0,557,17,926,17,548,13,552,35,27,11,8,5,0,0,0,0,13,"2.30%",12,"2.12%",12,"2.12%",233,"41.24%",8,"1.42%",0,"0.00%",85,"15.04%",10,"1.77%",38,"6.73%",0,"0.00%",26,"4.60%",82,"14.51%",2,"0.35%",31,"5.49%"
"УИК №1712",1624,1500,0,680,8,812,8,679,17,670,35,21,9,14,1,0,0,0,0,17,"2.47%",17,"2.47%",17,"2.47%",315,"45.85%",8,"1.16%",0,"0.00%",91,"13.25%",8,"1.16%",40,"5.82%",1,"0.15%",29,"4.22%",79,"11.50%",2,"0.29%",46,"6.70%"
"УИК №1713",2089,2000,0,745,13,1242,13,744,29,728,35,35,12,0,6,0,0,0,0,16,"2.11%",17,"2.25%",20,"2.64%",294,"38.84%",12,"1.59%",1,"0.13%",116,"15.32%",14,"1.85%",52,"6.87%",2,"0.26%",32,"4.23%",109,"14.40%",4,"0.53%",39,"5.15%"
"УИК №1714",1715,1506,0,631,21,854,21,614,24,611,35,10,8,25,4,0,0,0,0,17,"2.68%",16,"2.52%",14,"2.20%",264,"41.57%",3,"0.47%",2,"0.31%",79,"12.44%",6,"0.94%",39,"6.14%",3,"0.47%",40,"6.30%",88,"13.86%",0,"0.00%",40,"6.30%"
"УИК №1715",1202,1000,0,492,8,500,8,492,26,474,35,15,12,20,2,0,0,0,0,5,"1.00%",10,"2.00%",20,"4.00%",181,"36.20%",3,"0.60%",1,"0.20%",82,"16.40%",8,"1.60%",34,"6.80%",2,"0.40%",19,"3.80%",87,"17.40%",2,"0.40%",20,"4.00%"
"УИК №1716",1575,1500,0,548,12,940,12,548,15,545,35,13,28,22,0,0,0,0,0,18,"3.21%",11,"1.96%",11,"1.96%",229,"40.89%",2,"0.36%",0,"0.00%",75,"13.39%",5,"0.89%",52,"9.29%",0,"0.00%",27,"4.82%",87,"15.54%",0,"0.00%",28,"5.00%"
"УИК №1717",1382,1000,0,513,17,470,17,505,16,506,35,18,12,17,3,0,0,0,0,17,"3.26%",10,"1.92%",17,"3.26%",192,"36.78%",12,"2.30%",2,"0.38%",67,"12.84%",13,"2.49%",38,"7.28%",0,"0.00%",42,"8.05%",74,"14.18%",1,"0.19%",21,"4.02%"
"УИК №1718",2708,2500,0,1004,14,1482,14,1004,48,970,45,44,5,1,4,0,0,0,0,37,"3.63%",23,"2.26%",31,"3.05%",402,"39.49%",23,"2.26%",1,"0.10%",142,"13.95%",10,"0.98%",72,"7.07%",3,"0.29%",24,"2.36%",145,"14.24%",3,"0.29%",54,"5.30%"
"УИК №1719",1590,1500,0,631,4,865,3,630,12,621,25,21,7,4,8,0,0,0,0,21,"3.32%",15,"2.37%",10,"1.58%",255,"40.28%",13,"2.05%",5,"0.79%",95,"15.01%",9,"1.42%",51,"8.06%",3,"0.47%",30,"4.74%",77,"12.16%",5,"0.79%",32,"5.06%"
"УИК №1720",1523,1500,0,1134,10,356,5,567,19,553,35,16,5,19,1,0,0,0,0,4,"0.70%",7,"1.22%",21,"3.67%",242,"42.31%",7,"1.22%",1,"0.17%",83,"14.51%",4,"0.70%",40,"6.99%",1,"0.17%",24,"4.20%",76,"13.29%",12,"2.10%",31,"5.42%"
"УИК №1721",1448,1100,0,529,7,564,7,529,27,509,35,14,4,21,0,0,0,0,0,9,"1.68%",12,"2.24%",16,"2.99%",216,"40.30%",5,"0.93%",0,"0.00%",81,"15.11%",2,"0.37%",37,"6.90%",2,"0.37%",21,"3.92%",81,"15.11%",1,"0.19%",26,"4.85%"
"УИК №1722",1625,1500,0,585,5,910,5,585,23,567,35,20,7,15,2,0,0,0,0,8,"1.36%",13,"2.20%",24,"4.07%",256,"43.39%",6,"1.02%",0,"0.00%",96,"16.27%",3,"0.51%",32,"5.42%",1,"0.17%",27,"4.58%",67,"11.36%",1,"0.17%",33,"5.59%"
"УИК №1723",936,700,0,338,11,351,11,338,10,339,35,11,9,24,3,0,0,0,0,2,"0.57%",3,"0.86%",12,"3.44%",143,"40.97%",9,"2.58%",0,"0.00%",46,"13.18%",5,"1.43%",28,"8.02%",0,"0.00%",19,"5.44%",51,"14.61%",1,"0.29%",20,"5.73%"
